Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
20.560000000000414,3.988864629334029,613926.4912561504,0.0432,1.3128,0.97,18047.520679905516,4.5,2.7542745471549144,890.009232671312,0,1.2345900821791143,935,0.112,1.33
20.570000000000416,3.9817417252538325,612860.4140874387,0.0432,1.3128,0.97,18016.181342016167,4.5,2.749007592178026,890.009232671312,0,1.2327341330758064,935,0.112,1.33
20.580000000000418,3.9746311914531978,611796.0637292268,0.0432,1.3128,0.97,17984.89276696023,4.5,2.7437517617659974,890.009232671312,0,1.2308794296872005,935,0.112,1.33
20.59000000000042,3.967533007840906,610733.442041895,0.0432,1.3128,0.97,17953.655009427082,4.5,2.738507036179927,890.009232671312,0,1.229025971660979,935,0.112,1.33
20.60000000000042,3.960447154330082,609672.5486517076,0.0432,1.3128,0.97,17922.468058430055,4.5,2.7332733956879043,890.009232671312,0,1.2271737586421776,935,0.112,1.33
20.610000000000422,3.9533736108319477,608613.3837223327,0.0432,1.3128,0.97,17891.33191878048,4.5,2.7280508205594316,890.009232671312,0,1.225322790272516,935,0.112,1.33
20.620000000000424,3.9463123572575496,607555.9472691233,0.0432,1.3128,0.97,17860.24659092969,4.5,2.722839291066978,890.009232671312,0,1.2234730661905715,935,0.112,1.33
20.630000000000425,3.939263373517663,606500.2393149394,0.0432,1.3128,0.97,17829.212075549694,4.5,2.717638787485914,890.009232671312,0,1.2216245860317492,935,0.112,1.33
20.640000000000427,3.9322266395231087,602179.5134938227,0.0432,1.3113,0.97,17755.213285454163,4.5,2.712449290094798,890.009232671312,0,1.2197773494283108,935,0.112,1.33
20.65000000000043,3.9251923057674105,601974.1096289987,0.0432,1.3113,0.97,17749.15696944227,4.5,2.7072619866608107,890.009232671312,0,1.2179303191065998,935,0.112,1.33
20.66000000000043,3.918172749990645,600709.4590142102,0.0432,1.3113,0.97,17711.868850378116,4.5,2.702087948573187,890.009232671312,0,1.2160848014174583,935,0.112,1.33
20.67000000000043,3.911164754183094,599720.1952099251,0.0432,1.3113,0.97,17682.700488706774,4.5,2.6969242955938717,890.009232671312,0,1.2142404585892221,935,0.112,1.33
